 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"51","Jayda Carlton","Xavier","So.","5-11","MB","103","18","109","127","1.23"
"52","Heather Gneiting","BYU","So.","6-4","MB","112","12","126","138","1.23"
"53","Naya Gros","Michigan St.","So.","6-3","MB","110","19","116","135","1.23"
"54","Jada Stackhouse","Cornell","Sr.","5-11","MB","82","16","84","100","1.22"
"55","Leah Meyer","Kentucky","Sr.","6-3","MB","114","10","129","139","1.22"
"56","Blake Mohler","Purdue","Sr.","6-2","MB","115","22","117","139","1.21"
"57","Gloria Ikenegbu","USC Upstate","Sr.","5-11","MB","98","17","101","118","1.20"
"58","Brianna Green","Denver","Fr.","6-1","MB","109","15","116","131","1.20"
"59","Rachel Murphy","New Mexico","So.","6-0","MB","100","11","109","120","1.20"
"60","Abby Akin","Northern Ariz.","Sr.","6-3","MB","121","19","126","145","1.20"
"61","Phoebe Grace","Utah","So.","6-2","MB","132","13","145","158","1.20"
"62","Anna Stevenson","Louisville","So.","6-1","MB","117","26","114","140","1.20"
"63","Kennedy Eschenberg","BYU","Jr.","6-4","MB","112","8","126","134","1.20"
"64","Emily Poole","Lehigh","Sr.","6-2","MB","108","34","95","129","1.19"
"65","Janell Williams","Western Mich.","Jr.","6-2","MB","94","30","82","112","1.19"
"","Alyssa Wissinger","Boise St.","Fr.","6-2","MB","94","5","107","112","1.19"
"67","Zuri Smith","Fla. Atlantic","Sr.","6-5","MB","89","25","81","106","1.19"
"68","Olivia Dubay","Dayton","Jr.","6-4","MB","95","5","108","113","1.19"
"69","Bailey Downing","Utah St.","Jr.","6-0","OPP","106","15","111","126","1.19"
"70","Emma Pence","Montana St.","Fr.","6-2","MB","112","19","114","133","1.19"
"71","Alex O'Sullivan","Saint Mary's (CA)","Sr.","5-10","MB","76","11","79","90","1.18"
"72","Lauren Matthews","Western Ky.","So.","6-0","MH","118","36","103","139","1.18"
"73","Sydney Holt","Illinois St.","Jr.","6-1","MB","132","16","139","155","1.17"
"74","Danielle Tedesco","Albany (NY)","Jr.","6-3","MB","99","22","94","116","1.17"
"75","Berkeley Oblad","Utah","Sr.","6-4","MB","136","14","145","159","1.17"
"76","Mikayla Robinson","South Carolina","Jr.","6-2","MB","113","26","106","132","1.17"
"77","Daniele Serrano","FGCU","Sr.","6-1","MB","102","18","101","119","1.17"
"","Abby Sullivan","New Hampshire","So.","5-11","MB","102","13","106","119","1.17"
"79","Melody Davidson","Butler","So.","6-2","MB","115","19","115","134","1.17"
"80","Julia Brown","William & Mary","Jr.","6-2","MB","97","19","94","113","1.16"
"81","Shaylynn Hall","N.C. A&T","So.","6-2","MH","91","20","86","106","1.16"
"82","Silvia Grassini","Towson","Sr.","5-10","MB","112","5","125","130","1.16"
"83","Lydia Wiers","Towson","Fr.","6-2","MB","105","4","117","121","1.15"
"84","Kelsie White","Montana St.","Jr.","6-4","MB","100","17","98","115","1.15"
"85","Katie Kidwell","Bowling Green","Jr.","6-0","MB","127","21","125","146","1.15"
"86","Tarah Wylie","Pepperdine","Sr.","6-5","MB","114","14","117","131","1.15"
"87","Meisheia Griffin","Georgia St.","Jr.","6-0","MH","101","17","99","116","1.15"
"88","Rachel Langs","Kansas","So.","6-3","MB","81","15","78","93","1.15"
"89","Maria Alfano","Robert Morris","Jr.","6-2","MB","95","15","94","109","1.15"
"90","Kyra Palmbush","Idaho","Fr.","6-2","MB","124","7","135","142","1.15"
"91","Riley Coonan","Wofford","Jr.","6-1","MB","104","42","77","119","1.14"
"92","Julia Queiroz","Seattle U","So.","-","MB","92","10","95","105","1.14"
"93","Chichi Ikwuazom","Columbia","Sr.","6-1","MB","93","17","89","106","1.14"
"94","Emmy Barnhorst","Army West Point","So.","6-3","MB","115","14","117","131","1.14"
"95","Rowan Ennis","UC Santa Barbara","Jr.","6-1","MB","107","18","103","121","1.13"
"96","Danielle Hart","Wisconsin","So.","6-4","MB","116","8","123","131","1.13"
"97","Morgan BOSSLER","Winthrop","Jr.","6-3","-","109","20","103","123","1.13"
"98","Lily Cooper","Duke","So.","6-5","MB","103","9","107","116","1.13"
"99","Lorin McNeil","Abilene Christian","Jr.","5-11","MB","81","8","83","91","1.12"
"100","Megan Hobler","Oakland","Sr.","6-2","MH","108","20","101","121","1.12"
"101","Skyler Williams","Hawaii","Jr.","6-1","MH","102","12","102","114","1.12"
"102","Ashley Sledge","Green Bay","Jr.","5-11","MB","114","5","122","127","1.11"
"103","Callie Cook","Tulsa","Jr.","6-2","MB","132","19","128","147","1.11"
"104","Callie Schwarzenbach","Nebraska","So.","6-5","MB","115","11","117","128","1.11"
"105","Maggie Adams","Southeast Mo. St.","Jr.","6-2","MB","117","23","107","130","1.11"
"106","Taylor Dorsey","Tennessee Tech","So.","6-2","MB","109","23","98","121","1.11"
"107","Corinne Larsen","Utah St.","So.","6-3","MB","104","10","105","115","1.11"
"108","Nicole Ball","Idaho","So.","6-3","MB","124","31","106","137","1.10"
"109","Kaira Moss","Grand Canyon","So.","6-1","MB","105","22","94","116","1.10"
"110","Kendall Bender","UNCW","Sr.","6-1","MB","116","17","111","128","1.10"
"111","Annie Ellis","SIUE","Jr.","6-2","MB","108","14","105","119","1.10"
"112","Briana Holmes","Samford","So.","-","MB","118","24","106","130","1.10"
"113","Mackenzie Meehan","Radford","Fr.","6-1","MB","80","8","80","88","1.10"
"114","Olivia Finckel","Towson","Sr.","6-2","OH","111","2","120","122","1.10"
"115","Tyeranee Scott","Texas St.","Jr.","6-0","MB","104","11","103","114","1.10"
"116","Milla Ciprian","Virginia","So.","6-2","MB","106","16","100","116","1.09"
"117","Sope Adeleye","Harvard","Sr.","6-1","MB","67","10","63","73","1.09"
"118","Meryn Kennedy","SMU","Jr.","6-3","MB","102","13","98","111","1.09"
"119","Rainelle  Jones","Maryland","So.","6-3","MB","125","10","126","136","1.09"
"120","Lauren Sanders","Washington","Jr.","6-4","MB","129","22","118","140","1.09"
"121","Alexandria Roycraft","Gardner-Webb","Jr.","6-2","MB","83","21","69","90","1.08"
"122","Hannah Greene","Cleveland St.","Jr.","6-1","MH","108","28","89","117","1.08"
"123","Grace Cleveland","Purdue","So.","6-3","OH","122","5","127","132","1.08"
"124","Emily Russell","USC Upstate","Jr.","6-0","MB","99","19","88","107","1.08"
"125","Gina Tuzzolo","VCU","Sr.","6-2","OPP","112","6","115","121","1.08"
"126","Lizzie Fleming","Duke","Fr.","6-3","MB","102","6","104","110","1.08"
"127","Hannah DeYoung","Weber St.","Sr.","6-2","MB","128","11","127","138","1.08"
"128","Rebecka  Poljan","Michigan St.","So.","6-2","MB","77","3","80","83","1.08"
"129","Lauryn Green","Tulane","Fr.","6-1","MH","116","13","112","125","1.08"
"130","Ebonie Ballesteros","Houston Baptist","So.","6-0","MB","112","11","109","120","1.07"
"131","Zoe Hill","Kansas","Sr.","5-11","MB","85","20","71","91","1.07"
"132","Orsula Staka","San Francisco","Fr.","6-3","MB","86","10","82","92","1.07"
"133","Lana Strejcek","Charlotte","So.","6-3","MB","88","16","78","94","1.07"
"134","Elise Benjamin","Fordham","Sr.","6-0","MB","74","12","67","79","1.07"
"135","Christina Nance","Coastal Caro.","So.","6-3","MB","104","12","99","111","1.07"
"136","Lauren Stivrins","Nebraska","Jr.","6-4","MB","119","16","111","127","1.07"
"137","M'Kaela White","James Madison","Sr.","6-3","MB","93","10","89","99","1.06"
"138","Kaira Hunnicutt","Sam Houston St.","So.","6-0","MB","128","29","107","136","1.06"
"139","Cianna Andrews","Sacramento St.","Jr.","5-10","MH","130","22","116","138","1.06"
"140","Paige Reagor","Charleston So.","Fr.","6-5","MB","102","22","86","108","1.06"
"141","Alyiah Wells","Alabama","Fr.","6-2","MB","103","11","98","109","1.06"
"142","Anna Gragg","Liberty","Sr.","6-3","MB","112","15","103","118","1.05"
"143","Josie Ough","UC Davis","So.","6-6","MB","98","17","86","103","1.05"
"144","Bailey Western","Northern Ky.","Jr.","6-1","MB","118","5","119","124","1.05"
"145","Ashley Richardson","Akron","Sr.","6-1","MB","103","18","90","108","1.05"
"146","Skyy Howard","North Carolina","Fr.","6-2","MB","104","9","100","109","1.05"
"147","Sophia Howling","Villanova","So.","6-2","MH","109","23","91","114","1.05"
"148","Jodi Edo","Southeastern La.","Sr.","5-9","MB","115","38","82","120","1.04"
"","Elle Van Grinsven","Loyola Chicago","Jr.","6-1","MB","115","25","95","120","1.04"
"150","Emily Ryan","UCLA","So.","6-4","MB","94","20","78","98","1.04"
"151","Cameron Maris","Niagara","Sr.","6-1","MB","72","10","65","75","1.04"
"152","Madeline Wynn","Davidson","Fr.","6-2","MB","99","18","85","103","1.04"
"153","Lauren Dooley","Florida","So.","6-6","MB","101","8","97","105","1.04"
"154","Lauren Bright","Lehigh","Sr.","5-11","MB","105","18","91","109","1.04"
"","Amelia Moore","Dayton","Fr.","6-5","MB","105","8","101","109","1.04"
"","Megan Vernon","Kansas St.","So.","6-2","MB","105","9","100","109","1.04"
"157","Emma Wright","Wichita St.","Jr.","6-3","MB","79","11","71","82","1.04"
"158","Kaylie Butts","Fairfield","Jr.","6-1","MB","106","16","94","110","1.04"
"","Megan Hart","New Mexico St.","Sr.","6-5","MB","106","15","95","110","1.04"
"160","Avery Rhodes","Iowa St.","So.","6-2","MB","107","10","101","111","1.04"
"161","Jeanne Westney","American","Sr.","6-3","MB","85","17","71","88","1.04"
"162","Kristin Baer","Notre Dame","Sr.","6-2","MB","115","10","109","119","1.03"
"163","Ashlyn Fleming","Illinois","Sr.","6-4","MB","118","10","112","122","1.03"
"164","Caitlyn Della","Wake Forest","Sr.","6-3","MB","93","11","85","96","1.03"
"165","Sydney Boerst","Purdue Fort Wayne","Jr.","6-0","MH","127","17","114","131","1.03"
"166","Danae Daron","SFA","Sr.","6-0","MB","111","13","101","114","1.03"
"167","Bre Walp","UT Arlington","So.","6-2","MB","127","21","109","130","1.02"
"168","Alix Christie","La.-Monroe","Jr.","6-2","MB","90","21","71","92","1.02"
"169","Caroline Sklaver","George Washington","Sr.","6-1","MB","100","7","95","102","1.02"
"170","Karla Johnson","Iona","Sr.","6-0","MB","101","16","87","103","1.02"
"","Mimi Richards","Bucknell","Sr.","6-1","MB","101","22","81","103","1.02"
"172","Lauren Turner","San Diego","Fr.","6-1","MB","107","20","89","109","1.02"
"173","Hailey Horn-Bostel","Colgate","So.","6-2","MB","108","22","88","110","1.02"
"174","Kat Young","VCU","Sr.","6-3","MH","111","4","109","113","1.02"
"175","Morgan Koch","Rider","Fr.","6-4","MB","112","5","109","114","1.02"
"","Jocelyn Stoner","Charlotte","Sr.","6-2","OH","112","24","90","114","1.02"
"177","Taylor Venuto","Loyola Chicago","Fr.","6-1","MH","124","19","107","126","1.02"
"178","Maggie Hembree","Tulsa","Jr.","6-4","MB","128","26","104","130","1.02"
"179","Francesca Meldrum","Dartmouth","So.","6-2","MB","81","16","66","82","1.01"
"180","Deni Wilson","UC Santa Barbara","Fr.","6-2","MB","107","12","96","108","1.01"
"181","Mauri Carver","UMES","So.","6-3","MB","112","10","103","113","1.01"
"182","Ann Hollas","SFA","Sr.","5-11","S","114","12","103","115","1.01"
"183","Mia Swearingen","Morehead St.","So.","5-11","MB","116","23","94","117","1.01"
"184","Amaka Chukwujekwu","Boston College","Jr.","5-11","MB","125","21","105","126","1.01"
"185","Sydney Bolding","Jacksonville","Fr.","6-5","MB","90","7","83","90","1.00"
"","Mattison Matthews","Virginia","Fr.","5-11","MB","86","9","77","86","1.00"
"","Asjia O'Neal","Texas","Fr.","6-3","MB","93","7","86","93","1.00"
"","Hannah Watkins","Evansville","Fr.","6-1","MB","104","10","94","104","1.00"
"189","Maddie Wiedenfeld","South Dakota","So.","6-2","MB","123","13","109","122","0.99"
"190","Madison Horin","Southern California","Fr.","6-2","MB","122","11","110","121","0.99"
"191","Audriana Fitzmorris","Stanford","Sr.","6-6","OPP","117","2","114","116","0.99"
"","Nayo Warnell","Ole Miss","Sr.","6-1","MB","117","15","101","116","0.99"
"193","Erin Hoener","Manhattan","Jr.","6-1","MB","115","28","86","114","0.99"
"194","Sarah Sanders","Oklahoma","Jr.","6-4","OH","110","8","101","109","0.99"
"195","Peyton Ehmke","George Mason","So.","6-1","MB","94","12","81","93","0.99"
"196","Sophie Thompson","Colgate","Fr.","6-2","MB","89","16","72","88","0.99"
"197","Megan Gneiting","Weber St.","Sr.","6-0","OH","133","7","124","131","0.98"
"198","Azyah Green","Missouri St.","Fr.","6-0","MB","122","6","114","120","0.98"
"199","Tatyana Ndekwe","UIC","Sr.","5-10","MB","116","14","100","114","0.98"
"200","Claire Edwards","South Carolina","Sr.","6-2","MB","112","12","98","110","0.98"
"201","Chinaza Ndee","Pittsburgh","Jr.","5-11","MB","109","1","106","107","0.98"
"202","Tia Jade Smith","Louisiana","So.","6-2","MB","99","24","73","97","0.98"
"203","Amaya Tillman","Louisville","Fr.","6-3","MB","97","10","85","95","0.98"
"204","Lauren Robeck","UNC Greensboro","Sr.","6-1","MH","87","18","67","85","0.98"
"205","Bojana Bolozan","Norfolk St.","Sr.","6-3","MB","85","11","72","83","0.98"
"","Jasmine Stackhouse","Rutgers","Sr.","6-3","MB","85","5","78","83","0.98"
"207","Ronika Stone","Oregon","Sr.","6-2","MB","113","13","97","110","0.97"
"208","Karson Bacon","Oregon","Fr.","6-4","MB","110","20","87","107","0.97"
"","Evelyn Shanefield","Rider","Sr.","6-2","MB","110","12","95","107","0.97"
"210","Merle Weidt","Rutgers","So.","6-1","OPP","73","5","66","71","0.97"
"211","Megan Ballenger","Creighton","Sr.","6-1","MB","107","11","93","104","0.97"
"212","Sydnee VanBeek","Ball St.","Sr.","6-2","MB","106","30","73","103","0.97"
"213","Raeann Bergman","Bradley","Fr.","6-4","MB","98","5","90","95","0.97"
"214","Dahlias Bouyer","Ohio","So.","5-11","MB","97","15","79","94","0.97"
"215","Gianna Scioletti","Sacred Heart","Sr.","6-3","MB","119","15","100","115","0.97"
"216","Taylor Meeks","Idaho St.","Jr.","6-3","MB","89","9","77","86","0.97"
"217","Monica Eckford","Army West Point","Jr.","5-10","MB","114","20","90","110","0.96"
"218","Sara Daniels","Saint Louis","So.","6-2","MB","112","15","93","108","0.96"
"219","Deja Robinson","Mississippi St.","So.","6-1","MB","111","24","83","107","0.96"
"220","Margaret Payne","Miami (OH)","Sr.","6-0","MH","108","25","79","104","0.96"
"221","Sydney LEWIS","Delaware St.","---","-","-","80","27","50","77","0.96"
"222","Ashley Anselmo","New Mexico St.","Sr.","6-2","OPP","106","7","95","102","0.96"
"223","Maddie  Whitfield","Central Mich.","So.","6-3","MB","79","18","58","76","0.96"
"224","Alyssa Andreno","Tennessee","Sr.","6-2","MB","103","8","91","99","0.96"
"225","Whitney Foreman","LSU","So.","6-2","MB","102","19","79","98","0.96"
"226","Paty Valle","George Washington","Sr.","6-4","MB","92","3","85","88","0.96"
"227","Krista Berns","Southeast Mo. St.","Sr.","6-3","MB","113","13","95","108","0.96"
"228","Tamia Reeves","San Diego St.","Sr.","6-1","MB","106","14","87","101","0.95"
"229","Jenna Bridges","Hartford","Sr.","6-2","MB","105","23","77","100","0.95"
"","Hannah Donaldson","Gardner-Webb","So.","6-3","MB","84","17","63","80","0.95"
"231","Sh'Diamond Holly","New Orleans","Fr.","6-0","MB","103","26","72","98","0.95"
"232","Madeline Williams","Indiana St.","So.","6-0","MB","101","10","86","96","0.95"
"233","Kaela Massey","ETSU","Sr.","6-1","MB","119","20","93","113","0.95"
"234","Addisyn Rowe","Tennessee","So.","6-3","MB","79","6","69","75","0.95"
"235","Anna Eaton","Green Bay","Jr.","6-0","MB","114","8","100","108","0.95"
"","Yasmin Tan","New Mexico","Jr.","5-11","MB","114","8","100","108","0.95"
"237","Genna Florig","UConn","Sr.","6-1","MB","94","18","71","89","0.95"
"238","Meredith Phillips","Cal Poly","So.","6-3","MB","110","18","86","104","0.95"
"239","Maddie Rhoder","Tulsa","Sr.","6-0","OPP","128","12","109","121","0.95"
"240","Courtney Hoffman","Furman","Jr.","6-0","MB","108","28","74","102","0.94"
"241","Candelaria Herrera","Iowa St.","Jr.","6-1","MB","107","7","94","101","0.94"
"","Naomi Hickman","Creighton","Jr.","6-4","MB","107","11","90","101","0.94"
"243","Janice Leao","Miami (FL)","Fr.","6-3","MB","89","2","82","84","0.94"
"","Corrissa Remter","IUPUI","Fr.","6-2","OH","89","12","72","84","0.94"
"245","Devyn Cross","Arizona","Sr.","6-0","MB","106","31","69","100","0.94"
"246","Brooke Pehrson","Idaho St.","Sr.","6-3","MB","105","10","89","99","0.94"
"247","Aria  Holmes","Tennessee St.","So.","6-2","MB","104","15","83","98","0.94"
"","Shelly Stafford","Baylor","Sr.","6-2","MB","104","8","90","98","0.94"
"249","Grace Morgan","Rice","Sr.","6-2","MB","103","23","74","97","0.94"
"250","Brooke Gregory","Butler","Sr.","6-4","OH","115","16","92","108","0.94"
"","Stephanie Samedy","Minnesota","Jr.","6-2","RS","115","5","103","108","0.94"
"252","Bailey Foy","Jacksonville","So.","6-0","MB","81","11","65","76","0.94"
"253","Bella Lien","North Dakota St.","Jr.","6-2","MH","111","19","85","104","0.94"
"254","Madilyn Mercer","Cal Poly","Jr.","6-4","MB","110","18","85","103","0.94"
"255","Melody Paige","Campbell","Fr.","6-0","MB","94","16","72","88","0.94"
"256","Casey Goodwin","Liberty","Sr.","6-1","RS","109","8","94","102","0.94"
"257","Rylee Marshall","Omaha","So.","6-1","MB","92","9","77","86","0.93"
"258","Katie Clark","TCU","So.","6-3","OH","106","10","89","99","0.93"
"259","Sara Esposito","ETSU","So.","6-0","MB","119","7","104","111","0.93"
"260","Aubrey Sultemeier","Ole Miss","So.","6-3","MB","116","20","88","108","0.93"
"261","Anna D'Cruz","UAB","So.","6-3","MB","97","11","79","90","0.93"
"262","Abby Casiano","Syracuse","Fr.","6-2","MB","83","8","69","77","0.93"
"","Franchesca Reed","UMBC","Sr.","6-0","MB","83","10","67","77","0.93"
"264","Celia Powers","Wright St.","Jr.","6-1","RS","110","12","90","102","0.93"
"265","Jocelyn Urias","Washington St.","Sr.","6-3","MB","122","18","95","113","0.93"
"266","Alexa Dreyer","Santa Clara","Sr.","6-3","MB","108","2","98","100","0.93"
"","Trinniti Hall","Cleveland St.","Sr.","5-10","MH","108","17","83","100","0.93"
"268","Toya Osuegbu","East Carolina","Sr.","5-11","MB","107","19","80","99","0.93"
"","Mykal Sadler","UMKC","Sr.","6-3","MH","107","9","90","99","0.93"
"270","Mikaela Weidmann","Middle Tenn.","Sr.","-","MB","106","10","88","98","0.92"
"271","Alana Walker","Northwestern","Jr.","6-3","MB","118","32","77","109","0.92"
"272","Sage Naves","Georgia","So.","6-2","MB","104","7","89","96","0.92"
"273","Allie Wright","Presbyterian","Jr.","6-1","MB","103","17","78","95","0.92"
"274","Brooke Boiseau","CSU Bakersfield","So.","6-1","MB","114","2","103","105","0.92"
"275","Baylor Bumford","Ga. Southern","So.","5-11","MH","101","15","78","93","0.92"
"276","Veronika Jandova","UTRGV","Jr.","6-2","MB","113","17","87","104","0.92"
"277","Skylar Fields","Texas","Fr.","-","OPP","98","0","90","90","0.92"
"278","Linzy Woods","Grambling","Jr.","5-9","MB","109","18","82","100","0.92"
"279","Rachael Kramer","Florida","Sr.","6-8","MB","107","16","82","98","0.92"
"280","Genevieve Reynolds","Hampton","Fr.","5-11","MB","95","7","80","87","0.92"
"281","Janna Grimsrud","Montana","Sr.","6-1","MB","104","9","86","95","0.91"
"282","Sandra Hoevels","Purdue Fort Wayne","Sr.","6-0","MH","127","11","105","116","0.91"
"283","Jenn Krzeminski","Elon","Fr.","6-3","MB","114","13","91","104","0.91"
"284","Quin Sutphin","Kennesaw St.","Jr.","6-2","MB","102","18","75","93","0.91"
"285","Karrington Jones","Texas Tech","So.","6-0","MB","101","19","73","92","0.91"
"286","Gabrielle  Idlebird","High Point","So.","6-0","MB","112","12","90","102","0.91"
"","Lexi Nordmann","Buffalo","Jr.","6-1","MB","112","16","86","102","0.91"
"288","Audrey Adams","West Virginia","Jr.","6-2","MB","100","11","80","91","0.91"
"","Ally Barnhart","South Fla.","Fr.","6-4","MB","100","11","80","91","0.91"
"290","Emmy Ogogor","Illinois St.","Fr.","6-1","MB","122","3","108","111","0.91"
"291","Anna Nerad","South Dakota St.","Fr.","6-0","MH","88","17","63","80","0.91"
"","Yizhi Xue","Long Beach St.","Sr.","6-4","MB","110","15","85","100","0.91"
"293","Daniela Fornaciari","Penn","So.","6-2","MH","76","8","61","69","0.91"
"294","Niki Khoshatefeh","UMBC","Fr.","6-2","MB","86","11","67","78","0.91"
"295","Grace Doyle","Fresno St.","Fr.","6-1","MB","95","7","79","86","0.91"
"296","Ellie Chaffee","Xavier","So.","6-1","MB","103","14","79","93","0.90"
"","Brianna Schmid","Stetson","Sr.","6-1","MB","103","17","76","93","0.90"
"298","Caitlyn Michalski","Charleston So.","Sr.","5-10","MB","102","13","79","92","0.90"
